country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,avg_value
Germany,DEU,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.84676504,23.37679048,21.32161358,20.8047334,20.53868606,20.0593844,20.22889631,20.40984502,19.99461029,20.54597006,20.34116748,19.78991138,19.83957098,20.03385605,20.06974579,20.65976823,20.85415375,20.04955841,17.68335017,19.69521136,20.23300019,20.15644863,19.92519608,20.22439478,20.34789735,20.66187307,20.39033901,20.03883582,19.55664131,18.70474507,18.85505657,20.33025858
Brazil,BRA,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,22.61939356,24.27107831,24.81374066,26.86888227,24.67410681,22.64485966,22.41993072,22.09421049,23.82261982,24.36674443,24.63483283,25.17411121,25.08621275,24.22180569,25.42639239,25.58492255,26.6888978,25.8318072,27.25994707,28.35349386,29.94925717,30.18430948,32.25920381,31.96205941,34.27124672,32.47170292,30.67637055,29.88182259,29.97859217,29.26089573,22.82812988,21.83906711,23.30859643,26.04973648,23.7212337,14.54227915,13.06719124,13.01862538,12.1551372,12.30853333,13.13465959,13.08953794,12.35696267,14.45076456,15.09953016,14.73828114,14.10894588,14.1542648,13.9551769,13.05946215,12.72185961,11.78379767,10.67594231,10.47961229,10.3370974,10.52093745,10.78645112,10.72149801,10.52845738,10.33250054,9.663418179,9.645341702,20.27316903
Finland,FIN,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.14413301,23.04555404,22.34965234,23.03527674,24.01602736,24.20298898,23.38245725,22.65729038,22.28178924,22.29517396,21.71001803,20.75829837,21.14271369,20.7069588,20.45499528,19.50988907,17.15900068,18.10525819,19.83362113,20.99086491,22.23259495,21.39337598,21.65837898,22.9103375,22.82690914,24.15018836,23.60193047,22.86747572,21.94742634,21.54285138,21.21539648,21.81067341,22.12998204,20.78912825,16.66877583,16.96900762,16.26077031,14.46052219,14.50462752,14.45501868,14.68458027,14.56569112,15.20099337,14.59423803,14.41227726,14.25078662,14.67774211,19.94816258
Tajikistan,TJK,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.32328308,27.65598651,30,26.59883721,23.04347826,24.82853224,24.03846154,36.70788253,29.16301304,22.6970297,26.83968481,18.84225032,20.17489386,19.3256998,19.59237175,0,0,0,0,0,0,0,0,0,0,0,9.662765911,9.470980087,9.226041113,7.617665427,10.73290727,11.37774387,12.80529159,13.22896965,13.4323434,15.62585236,0,19.76047861
Equatorial Guinea,GNQ,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.133685719,14.51441507,20.36751704,18.03795957,21.01648193,22.46849117,17.08975216,19.28578894,20.12563307,17.8446575,18.50431156,25.75059535,25.57013777,20.85383948,20.09917883,22.74843818,19.46318021
South Africa,ZAF,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,19.93919027,20.54628225,20.69900143,21.44976138,22.06088993,22.84949116,22.569205,21.92726307,21.93427077,22.31915667,22.51913434,21.7570473,21.18221373,21.65663042,21.26373431,23.06649858,23.35466562,21.5673838,21.41010785,22.46797287,22.80540517,24.86450776,24.1166002,23.87923233,23.34374276,22.16081137,22.35499767,22.77537522,23.0548928,23.48630004,23.74351096,23.1384261,22.30501454,21.38709412,21.01598175,21.24672967,20.26728629,19.91348664,19.32781307,18.52612948,18.96826643,19.03695787,19.0721823,18.50211188,17.98981452,17.37057973,15.59552455,15.44192483,15.60869108,14.50780436,13.85957361,12.86177002,12.48259185,12.36677578,12.48071139,12.51794447,12.48364435,12.5127045,12.49194631,12.39907742,11.66241618,11.78528872,19.39115388
Ukraine,UKR,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.10548276,0,0,44.59666203,29.70331753,35.01294684,30.95036248,27.45495001,24.62914293,25.2570843,27.23202557,17.38735465,16.33479342,16.92890518,17.54394188,17.51169087,18.50828186,18.74896021,18.40445956,15.88655446,14.31668289,13.0957491,11.76553427,12.22962711,11.14059174,12.22812816,11.90277912,12.21912603,11.98030207,11.53402155,10.78860042,10.10138261,10.30247049,19.15490039
Central African Republic,CAF,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.30696633,18.39649783,19.96856112,23.65146879,21.06138825,17.44322761,19.74492116,19.45417359,18.44042004,18.1315381,17.78232111,17.72702657,17.47781383,19.12202495
Turkmenistan,TKM,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.159680639,27.52293578,38.17484663,24.20258065,23.21692169,17.32761701,17.15282972,9.837258281,13.89266399,14.50265252,17.4800101,20.45651585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.07720941
Slovakia,SVK,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.03716019,17.9920949,17.11357951,18.23866575,17.64581273,19.97940878,21.33386398,19.41107971,19.71430561,20.39987478,20.60750949,20.6550899,20.33950953,19.00140477,15.17654924,18.03337244,18.18007411,18.13583673,17.49490048,19.30845774,19.58723336,18.59915137,17.94974026,18.88105587,19.75418278,18.11043119,19.73736463,18.90435962
Ecuador,ECU,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,19.71224117,19.30331562,19.47095099,19.91420665,21.5030532,20.40287455,21.9174308,21.64316173,21.20868225,21.72583121,23.19106563,23.0935014,21.75169416,18.65443496,18.86649315,18.84213851,19.31867125,20.72471062,19.6868082,20.52632586,18.33952025,18.49343716,19.72246402,19.28009029,22.1415148,21.61617896,20.52334508,21.22062335,21.49798822,21.37869963,22.33093507,23.63888285,25.81240088,22.3930079,22.84245553,22.16456978,21.92432471,20.42037345,19.92601448,21.26793631,22.37938912,18.93730441,17.57051968,16.22046999,15.09886911,14.12821209,13.64650014,13.73111594,13.70506294,13.87921718,13.40189032,13.04101545,12.9547547,13.04285975,13.7648167,14.42350795,14.55048854,14.36590648,13.94580231,14.66885585,16.50909904,16.79436496,18.85729641
Hungary,HUN,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18896757,18.06899592,19.73487078,19.97961661,19.33784837,19.10706293,19.17471605,18.55766414,18.57846815,18.95488781,19.01540812,19.69111712,19.05563063,18.2643201,17.13021896,18.07853806,18.43773479,18.47250806,18.71413137,19.43822879,20.21528655,19.60572675,19.1264888,18.50345348,17.43648186,17.3213452,16.95199075,18.70895214
Mexico,MEX,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,18.65117216,18.779375,19.15798193,19.68673025,20.02566502,22.03995495,22.02406122,21.78477876,21.71322721,21.75387778,21.09794545,20.8056674,21.49680909,21.30987591,21.14732399,18.34397511,17.90706786,16.95896684,17.45584335,18.51383089,19.14522879,20.2771282,20.91950402,22.10155004,20.22623938,19.13556361,18.90927536,18.53882316,18.16091124,17.38464261,19.15135175,20.20159182,20.20413394,20.11231677,19.28516448,18.98785185,18.05189577,17.26758479,16.60898698,16.65897512,15.72660434,16.65996148,15.92086248,15.84219855,15.09621026,15.56167935,15.3512843,16.3467248,15.83182395,15.91570455,17.16162961,17.18045011,17.44124895,17.54336451,17.25436526,17.37277756,18.07515737,18.63622627
Switzerland,CHE,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86928927,19.74500416,19.432579,19.23290259,19.58863804,18.94876671,18.73642105,18.7785646,18.43881472,18.19566822,17.64133399,18.36673333,18.75788226,18.56511767,18.45910595,18.71843398,19.07712073,19.26382086,19.34810897,17.89915043,17.89632704,18.19448808,17.7313708,17.80054077,17.54952531,17.11865816,17.33221321,17.49101995,17.66674993,17.92353933,17.73192485,17.9908748,18.42158402
Austria,AUT,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.25272837,21.62662025,21.98835928,21.35194357,21.20322678,20.7536504,20.13716414,20.06034939,19.69468677,20.01729915,20.00853927,19.41139561,19.50496551,19.40399042,19.58111475,19.17173885,18.47963499,17.46020695,17.35652011,17.90587952,17.63220929,17.80353465,17.726769,17.89093266,18.21496707,18.34109299,17.72678281,17.45317461,17.33646035,17.40781847,17.82343621,18.15364762,17.41746573,16.36199564,16.47850074,16.59560906,16.70612337,16.49572937,16.56001525,16.69003646,17.04741463,16.84270767,16.82875171,16.591013,16.41186306,16.54585007,18.35769382
El Salvador,SLV,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,18.9354236,20.1351235,20.41384962,20.93566581,20.96436059,20.18853935,20.57801909,20.73244073,19.81529758,19.90539535,20.03057024,18.49262037,16.63017852,18.10764844,17.78244904,16.49263049,17.06156074,16.57674179,16.59300883,17.06820147,17.83635145,17.51286541,19.8373753,19.86235644,20.84280479,18.71665132,18.79607278,19.66721089,20.49121913,19.95955014,19.1601831,18.65692721,18.43352488,18.63991159,19.36884477,19.53286824,19.24834791,18.88011111,18.09649281,17.55758252,16.62573139,16.35054991,16.22631417,16.86411603,16.17890853,16.14095248,16.24677452,16.1734113,15.97729249,16.07623796,16.38749326,16.28568464,16.08462885,15.68784263,15.55867794,14.92760255,15.17778163,18.09661364
Serbia,SRB,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.46637041,21.56010403,20.75377239,21.15600492,21.8475026,27.11981286,24.80225719,22.45300086,20.1883203,20.48405433,19.53563499,18.57624817,17.76799681,17.16507452,14.91762079,15.30340435,15.22828907,15.82085669,16.11881898,14.96365924,14.76792786,14.81139304,15.08669422,14.52732012,13.68195214,13.28391714,13.00225679,18.08852833
Turkey,TUR,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,12.7753304,13.21279555,13.07596513,12.87553648,13.32007952,14.67038069,14.73601261,14.98579545,15.74603175,16.09589041,16.08142494,16.6185567,17.36423383,17.55494505,16.59943526,16.56841452,17.63848397,17.28675566,17.06176117,19.16057737,17.08599396,19.43931148,19.99961876,19.10353953,18.05692569,18.25476201,22.20077409,21.83911276,22.95555409,23.12185388,21.95780697,22.17191762,21.63708834,20.80908452,22.06291179,22.56606514,21.1414223,21.56558465,22.27165544,19.99630407,18.70562697,17.71462985,16.9326153,17.11144698,16.94823506,16.9038637,17.059374,16.80466786,16.26460107,15.15760591,15.05396857,16.44867103,15.8337489,16.27985574,16.77169702,16.69618545,16.5954579,17.59183105,19.04337775,18.2939784,19.13430051,22.20755381,17.92288688
Senegal,SEN,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.25688477,20.83892501,20.98396207,21.58689514,20.57588963,20.95936579,19.90577529,19.2454738,18.61612738,17.53933132,15.76568231,15.57288881,17.24574864,16.99510584,17.38002414,16.99741556,17.04305501,16.41265626,15.80530875,15.52549026,14.89541542,14.29970662,14.76146367,17.79167789
New Zealand,NZL,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,25.4996353,24.32672764,24.04086512,25.69732938,23.26132771,24.64909768,24.92488653,25.19458545,24.87920371,24.85676326,26.0365521,26.62306348,25.88337073,25.75326074,23.12794048,21.41390437,19.39044582,18.74189087,18.62097774,17.7900088,17.86433583,17.91281037,17.93792492,18.45474614,17.70023692,16.65957805,16.32113724,15.78454683,15.55608546,15.50413471,15.1897259,15.55174174,14.71813539,14.5562536,14.52524595,13.31015558,12.3263675,12.41143364,10.76955539,10.84429188,10.9447248,10.60789281,10.23570296,11.07100177,11.28221195,10.09359644,10.19311976,9.945254581,9.830013551,0,0,17.73089385
