pop2023,city,country,growthRate,type,rank
1140599,Xinxiang,China,0.0181,w,500
1138854,Rostov-on-Don,Russia,0.0007,w,501
1135671,Yongin,South Korea,0.0133,w,502
1133629,Zaozhuang,China,0.0147,w,503
1131361,Wenling,China,0.0272,w,504
1128646,Bobo-Dioulasso,Burkina Faso,0.0506,w,505
1127198,Hargeysa,Somalia,0.0443,w,506
1126249,Siliguri,India,0.0314,w,507
1123843,Cuernavaca,Mexico,0.0148,w,508
1120694,Fuyang,China,0.0249,w,509
1120675,Panjin,China,0.0204,w,510
1118826,Jalandhar,India,0.0208,w,511
1116295,Chihuahua,Mexico,0.0181,w,512
1116052,San Salvador,El Salvador,0.0048,w,513
1112680,Ma'anshan,China,0.0274,w,514
1110824,Bien Hoa,Vietnam,0.0301,w,515
1106736,Shangrao,China,0.0234,w,516
1105283,Goyang,South Korea,0.0095,w,517
1104742,Bishkek,Kyrgyzstan,0.0208,w,518
1103202,Zhaoqing,China,0.0238,w,519
1100324,Samarinda,Indonesia,0.0271,w,520
1100271,Fuzhou Jiangxi,China,0.0324,w,521
1096937,Diyarbakir,Turkey,0.0166,w,522
1094813,Yerevan,Armenia,0.0026,w,523
1094510,Managua,Nicaragua,0.0105,w,524
1093308,Ikorodu,Nigeria,0.0501,w,525
1089886,Jingzhou Hubei,China,0.0167,w,526
1087599,Cartagena,Colombia,0.008,w,527
1087409,Leshan,China,0.0299,w,528
1086214,Johor Bahru,Malaysia,0.0196,w,529
1085992,Oslo,Norway,0.0139,w,530
1084969,Chenzhou,China,0.037,w,531
1084623,Kermanshah,Iran,0.0171,w,532
1082245,Tbilisi,Georgia,0.0018,w,533
1081768,Perm,Russia,0.0027,w,534
1080808,Voronezh,Russia,0.0034,w,535
1080680,Dezhou,China,0.0284,w,536
1079670,Aden,Yemen,0.0333,w,537
1079120,Lille,France,0.0053,w,538
1078630,Yichun Jiangxi,China,0.0478,w,539
1077929,Sekondi Takoradi,Ghana,0.0416,w,540
1077108,Tshikapa,DR Congo,0.0523,w,541
1074884,Kirkuk,Iraq,0.022,w,542
1072666,Asmara,Eritrea,0.0365,w,543
1070322,Solapur,India,0.0146,w,544
1069402,Mersin,Turkey,0.0159,w,545
1067651,Huzhou,China,0.0245,w,546
1063876,Xuchang,China,0.0292,w,547
1060460,Toulouse,France,0.0107,w,548
1059902,Changshu,China,0.0367,w,549
1057215,Antwerp,Belgium,0.0044,w,550
1056986,Aracaju,Brazil,0.0139,w,551
1056952,Nyala,Sudan,0.0441,w,552
1054442,Changwon,South Korea,0.0002,w,553
1053041,Denpasar,Indonesia,0.0216,w,554
1050459,Teresina,Brazil,0.0091,w,555
1049690,Marrakech,Morocco,0.0161,w,556
1048889,Yueyang,China,0.0139,w,557
1047251,Tampico,Mexico,0.0149,w,558
1038964,Qujing,China,0.0301,w,559
1034126,Saltillo,Mexico,0.0163,w,560
1033645,Padang,Indonesia,0.0183,w,561
1033430,San Jose,United States,0.0066,w,562
1031090,Warangal,India,0.024,w,563
1030974,Blantyre-Limbe,Malawi,0.0362,w,564
1030498,Ilorin,Nigeria,0.03,w,565
1026767,San Miguel de Tucuman,Argentina,0.0129,w,566
1024945,Cebu City,Philippines,0.0161,w,567
1023756,Xintai,China,0.0278,w,568
1022604,Cancun,Mexico,0.0245,w,569
1020399,Guiping,China,0.0406,w,570
1018976,Acapulco de Juarez,Mexico,0.0135,w,571
1018012,Rotterdam,Netherlands,0.0033,w,572
1013293,Austin,United States,0.0172,w,573
1013240,Kayseri,Turkey,0.0129,w,574
1008599,Valparaiso,Chile,0.0081,w,575
1007716,Odesa,Ukraine,-0.0003,w,576
1005007,Songkhla,Thailand,0.0129,w,577
1001155,Krasnodar,Russia,0.0122,w,578
1000947,Nonthaburi,Thailand,0.0129,w,579
1000475,Bordeaux,France,0.0099,w,580
999721,Pingxiang Jiangxi,China,0.0235,w,581
995747,Hamah,Syria,0.0328,w,582
995078,Volgograd,Russia,-0.0025,w,583
993175,Jixi Heilongjiang,China,0.0157,w,584
993097,Chengde,China,0.0364,w,585
991876,Dehradun,India,0.0252,w,586
991208,Zhucheng,China,0.0324,w,587
988744,Morelia,Mexico,0.0139,w,588
987960,Jacksonville,United States,0.0131,w,589
986921,Warri,Nigeria,0.0469,w,590
986899,Dushanbe,Tajikistan,0.0257,w,591
986248,Laiwu,China,0.0261,w,592
984193,Misratah,Libya,0.0322,w,593
983352,Owerri,Nigeria,0.0405,w,594
982777,Jiujiang,China,0.0235,w,595
982021,San Pedro Sula,Honduras,0.0276,w,596
979248,Agadir,Morocco,0.0196,w,597
978327,Leiyang,China,0.0417,w,598
